pango,root,total_samples,max_descendants,min_descendants,parent_max_descendants,parent_min_descendants,diff,diff_parent,relative_diff,relative_diff_parent
A,9,225,225,225,225,225,0,0,0.0,0.0
A.1,227,245,245,245,245,245,0,0,0.0,0.0
A.2,530,47,47,47,47,47,0,0,0.0,0.0
A.2.2,1190,65,65,65,65,65,0,0,0.0,0.0
A.2.3,1186,79,79,79,79,79,0,0,0.0,0.0
A.2.5,255122,36,36,36,36,36,0,0,0.0,0.0
A.2.5.1,255097,3,2,2,2,2,1,1,0.3333333333333333,0.3333333333333333
A.2.5.2,325703,4,3,3,3,3,1,1,0.25,0.25
A.23,80864,1,1,1,1,1,0,0,0.0,0.0
A.23.1,77348,199,199,199,199,199,0,0,0.0,0.0
A.25,27947,7,7,7,7,7,0,0,0.0,0.0
A.26,5309,10,10,10,10,10,0,0,0.0,0.0
A.29,197198,70,70,70,70,70,0,0,0.0,0.0
A.3,734,17,17,17,17,17,0,0,0.0,0.0
A.4,3154,21,21,21,21,21,0,0,0.0,0.0
A.5,818,47,46,46,47,47,1,0,0.02127659574468085,0.0
A.6,1164,4,4,4,4,4,0,0,0.0,0.0
AA.1,28813,9,9,9,9,9,0,0,0.0,0.0
AA.2,63956,109,92,92,109,109,17,0,0.1559633027522936,0.0
AA.3,50820,28,27,27,28,28,1,0,0.03571428571428571,0.0
AA.4,44927,98,98,98,98,98,0,0,0.0,0.0
AA.5,67805,49,49,49,49,49,0,0,0.0,0.0
AA.6,49024,48,48,48,48,48,0,0,0.0,0.0
AA.7,51640,69,69,69,69,69,0,0,0.0,0.0
AA.8,64330,33,33,33,33,33,0,0,0.0,0.0
AD.2,24278,3073,3073,3073,3073,3073,0,0,0.0,0.0
AE.1,28564,2,2,2,2,2,0,0,0.0,0.0
AE.3,26191,1,1,1,1,1,0,0,0.0,0.0
AE.5,22106,1,1,1,1,1,0,0,0.0,0.0
AE.8,30645,36,36,36,36,36,0,0,0.0,0.0
AH.3,69411,51,51,51,51,51,0,0,0.0,0.0
AJ.1,63408,9,9,9,9,9,0,0,0.0,0.0
AK.1,28484,56,56,56,56,56,0,0,0.0,0.0
AM.1,97590,2,1,1,2,2,1,0,0.5,0.0
AP.1,34441,499,499,499,499,499,0,0,0.0,0.0
AQ.1,64706,6,6,6,6,6,0,0,0.0,0.0
AS.1,73706,37,37,37,37,37,0,0,0.0,0.0
AV.1,252857,139,139,139,139,139,0,0,0.0,0.0
AY.1,245607,408,408,408,408,408,0,0,0.0,0.0
AY.10,233121,859,859,859,859,859,0,0,0.0,0.0
AY.100,280335,18621,18621,17426,18621,17426,0,0,0.0,0.0
AY.101,639383,8,8,8,8,8,0,0,0.0,0.0
AY.102,239976,11,11,11,11,11,0,0,0.0,0.0
AY.103,266229,67055,67021,67015,67055,67050,34,0,0.0005070464544031019,0.0
AY.103.1,492137,1,1,1,1,1,0,0,0.0,0.0
AY.104,481053,15,15,15,15,15,0,0,0.0,0.0
AY.105,264390,222,220,219,222,222,2,0,0.009009009009009009,0.0
AY.106,262841,44,42,42,44,44,2,0,0.045454545454545456,0.0
AY.107,272902,759,603,599,759,759,156,0,0.20553359683794467,0.0
AY.108,347455,70,70,70,70,70,0,0,0.0,0.0
AY.109,380418,316,305,304,305,304,11,11,0.03481012658227848,0.03481012658227848
