pango,is_in_results,type,parent_left_pango,parent_right_pango,parents_extra,interval_left,interval_right,intervals_extra
XA,TRUE,simple,B.1.177.18,B.1.1.7,,21257,21258,
XAA,TRUE,simple,BA.1.20,BA.2,,8250,8251,
XAB,TRUE,simple,BA.1.1.16,BA.2,,6512,6513,
XAC,TRUE,complex,BA.2.3,BA.1.1.16,BA.2.3,25818,25819,27381-27382
XAD,TRUE,simple,BA.2,BA.1.14.1,,26274,26275,
XAE,TRUE,simple,BA.2,BA.1.14,,25584,25585,
XAF,TRUE,simple,BA.1.1.16,BA.2.9,,10448,10449,
XAG,TRUE,simple,BA.1.1.14,BA.2,,5387,5388,
XAH,TRUE,simple,BA.2,BA.1.17,,26274,26275,
XAJ,TRUE,non,n/a,n/a,,n/a,n/a,
XAK,TRUE,non,n/a,n/a,,n/a,n/a,
XAL,TRUE,simple,BA.1.1,BA.2,,17420,17421,
XAM,TRUE,simple,BA.1.1.16,BA.2.9,,6512,6513,
XAN,TRUE,simple,BJ.1,BA.5.1.23,,9866,9867,
XAP,TRUE,simple,BA.2,BA.1.1.12,,26274,26275,
XAS,TRUE,simple,BA.4.8,BA.2.65,,27811,27812,
XAU,TRUE,simple,BA.1.1.2,BA.2.9,,2835,2836,
XAV,TRUE,non,n/a,n/a,,n/a,n/a,
XAY,TRUE,non,n/a,n/a,,n/a,n/a,
XAZ,TRUE,simple,BQ.1.9,BA.5,,1912,1913,
XB,TRUE,non,n/a,n/a,,n/a,n/a,
XBB,TRUE,simple,BJ.1,BM.1.1.1,,22897,22898,
XBC,TRUE,simple,BA.2.2.1,AY.26.1,,27705,27706,
XBD,TRUE,simple,BA.2.75.2,BF.3,,24494,24495,
XBE,TRUE,simple,BA.5.2.6,BE.4,,26719,26720,
XBF,TRUE,non,n/a,n/a,,n/a,n/a,
XBG,TRUE,simple,BA.2.76,BA.5.2,,22891,22892,
XBH,TRUE,complex,BA.2.75.2,BA.2.3.17,BA.2.75.2,3039,3040,15713-15714
XBJ,TRUE,simple,BA.2.3.20,BA.5.2.36,,25584,25585,
XBK,TRUE,simple,BF.5.2,CJ.1,,1629,1630,
XBL,TRUE,complex,XBB.1.5,BN.1.3,XBB.1.5,3039,3040,5183-5184
XBM,TRUE,complex,BF.3,BA.2.76,BF.3,4330,4331,22673-22674
XBN,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBP,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBQ,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBR,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBS,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBT,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBU,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBW,FALSE,n/a,n/a,n/a,,n/a,n/a,
XBZ,FALSE,n/a,n/a,n/a,,n/a,n/a,
XC,TRUE,simple,AY.29.1,Q.1,,26766,26767,
XCA,FALSE,n/a,n/a,n/a,,n/a,n/a,
XCG,FALSE,n/a,n/a,n/a,,n/a,n/a,
XE,TRUE,simple,BA.1.17.2,BA.2.29,,10447,10448,
XF,TRUE,simple,AY.37,BA.1.16,,4183,4184,
XG,TRUE,simple,BA.1.17,BA.2,,5943,5944,
XH,TRUE,simple,BA.1,BA.2.9,,10447,10448,
XJ,TRUE,simple,BA.1.17.2,BA.2.65,,13196,13197,
XL,TRUE,simple,BA.1.17.2,BA.2,,6512,6513,
XM,TRUE,simple,BA.1.1.16,BA.2.33,,17420,17421,
XN,TRUE,non,n/a,n/a,,n/a,n/a,
XP,TRUE,non,n/a,n/a,,n/a,n/a,
XQ,TRUE,simple,BA.1.1.16,BA.2.5,,4330,4331,
XR,TRUE,simple,BA.1.1.16,BA.2,,4330,4331,
XS,TRUE,simple,AY.126,BA.1.1,,9069,9070,
XU,TRUE,simple,BA.1.17,BA.2.37,,5943,5944,
XW,TRUE,simple,BA.1.1.2,BA.2.23,,2835,2836,
XY,TRUE,simple,BA.1.1,BA.2,,11547,11548,
XZ,TRUE,simple,BA.2,BA.1.1.12,,26274,26275,
